customer_name,grant_name,eligibility_code,is_eligible,reason
ABC Shuttle,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ABC Shuttle,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
ABC Shuttle,5339,e0001,false,
ABC Shuttle,5339,e0003,false,Customer does not have service to non-urbanized area
ABC Shuttle,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
ABC Shuttle,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
ABC Shuttle,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
ABC Shuttle,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
ACE Parking,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
ACE Parking,5310,e0003,false,Customer does not have service to non-urbanized area
ACE Parking,5311 (f) Intercity,e0004,,Customer may or may not have service connecting urban areas
ACE Parking,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
ACE Parking,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
ACE Parking,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ACE Parking,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
ACE Parking,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ACE Parking,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
ACE Parking,5339,e0001,false,
ACE Parking,5339,e0003,false,Customer does not have service to non-urbanized area
ACE Parking,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
ACE Parking,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
ACE Parking,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
ACE Parking,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
ADARide,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
ADARide,5310,e0003,false,Customer does not have service to non-urbanized area
ADARide,5311 (f) Intercity,e0004,false,Customer does not have service connecting urban areas
ADARide,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
ADARide,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
ADARide,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ADARide,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
ADARide,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ADARide,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
ADARide,5339,e0001,false,
ADARide,5339,e0003,false,Customer does not have service to non-urbanized area
ADARide,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
ADARide,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
ADARide,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
ADARide,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
AEP Ticketing,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
AEP Ticketing,5310,e0003,true,Customer has service to non-urbanized area
AEP Ticketing,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
AEP Ticketing,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
AEP Ticketing,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
AEP Ticketing,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
AEP Ticketing,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
AEP Ticketing,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
AEP Ticketing,5311 Rural,e0003,true,Customer has service to non-urbanized area
AEP Ticketing,5339,e0001,false,
AEP Ticketing,5339,e0003,true,Customer has service to non-urbanized area
AEP Ticketing,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
AEP Ticketing,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
AEP Ticketing,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
AEP Ticketing,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
ARC Imperial Valley,5310,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, mpo, private non-profit"
ARC Imperial Valley,5310,e0003,true,Customer has service to non-urbanized area
ARC Imperial Valley,5311 (f) Intercity,e0004,,Customer may or may not have service connecting urban areas
ARC Imperial Valley,5311 (f) Intercity,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
ARC Imperial Valley,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
ARC Imperial Valley,5311 CMAQ,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ARC Imperial Valley,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
ARC Imperial Valley,5311 Rural,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ARC Imperial Valley,5311 Rural,e0003,true,Customer has service to non-urbanized area
ARC Imperial Valley,5339,e0001,false,
ARC Imperial Valley,5339,e0003,true,Customer has service to non-urbanized area
ARC Imperial Valley,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
ARC Imperial Valley,SB 1 State of Good Repair,e0001,false,Customer org type is Non-Profit Organization and grant eligible types are transit agency
ARC Imperial Valley,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
ARC Imperial Valley,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Non-Profit Organization and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
ARINC,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
ARINC,5310,e0003,false,Customer does not have service to non-urbanized area
ARINC,5311 (f) Intercity,e0004,,Customer may or may not have service connecting urban areas
ARINC,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
ARINC,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
ARINC,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ARINC,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
ARINC,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ARINC,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
ARINC,5339,e0001,false,
ARINC,5339,e0003,false,Customer does not have service to non-urbanized area
ARINC,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
ARINC,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
ARINC,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
ARINC,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
AT&T Business,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
AT&T Business,5310,e0003,false,Customer does not have service to non-urbanized area
AT&T Business,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
AT&T Business,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
AT&T Business,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
AT&T Business,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
AT&T Business,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
AT&T Business,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
AT&T Business,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
AT&T Business,5339,e0001,false,
AT&T Business,5339,e0003,false,Customer does not have service to non-urbanized area
AT&T Business,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
AT&T Business,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
AT&T Business,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
AT&T Business,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Able Inc.,5310,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, mpo, private non-profit"
Able Inc.,5310,e0003,true,Customer has service to non-urbanized area
Able Inc.,5311 (f) Intercity,e0004,,Customer may or may not have service connecting urban areas
Able Inc.,5311 (f) Intercity,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Able Inc.,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
Able Inc.,5311 CMAQ,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Able Inc.,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Able Inc.,5311 Rural,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Able Inc.,5311 Rural,e0003,true,Customer has service to non-urbanized area
Able Inc.,5339,e0001,false,
Able Inc.,5339,e0003,true,Customer has service to non-urbanized area
Able Inc.,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
Able Inc.,SB 1 State of Good Repair,e0001,false,Customer org type is Non-Profit Organization and grant eligible types are transit agency
Able Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Able Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Non-Profit Organization and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Abrazar Inc.,5310,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, mpo, private non-profit"
Abrazar Inc.,5310,e0003,false,Customer does not have service to non-urbanized area
Abrazar Inc.,5311 (f) Intercity,e0004,false,Customer does not have service connecting urban areas
Abrazar Inc.,5311 (f) Intercity,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Abrazar Inc.,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
Abrazar Inc.,5311 CMAQ,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Abrazar Inc.,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
Abrazar Inc.,5311 Rural,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Abrazar Inc.,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
Abrazar Inc.,5339,e0001,false,
Abrazar Inc.,5339,e0003,false,Customer does not have service to non-urbanized area
Abrazar Inc.,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
Abrazar Inc.,SB 1 State of Good Repair,e0001,false,Customer org type is Non-Profit Organization and grant eligible types are transit agency
Abrazar Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Abrazar Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Non-Profit Organization and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Access Services,5310,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, local government, mpo, private non-profit"
Access Services,5310,e0003,true,Customer has service to non-urbanized area
Access Services,5311 (f) Intercity,e0004,false,Customer does not have service connecting urban areas
Access Services,5311 (f) Intercity,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Access Services,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
Access Services,5311 CMAQ,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Access Services,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Access Services,5311 Rural,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Access Services,5311 Rural,e0003,true,Customer has service to non-urbanized area
Access Services,5339,e0001,false,
Access Services,5339,e0003,true,Customer has service to non-urbanized area
Access Services,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Access Services,SB 1 State of Good Repair,e0001,true,Customer org type is Independent Agency and grant eligible types are transit agency
Access Services,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
Access Services,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Independent Agency and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Actionfigure,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
Actionfigure,5310,e0003,true,Customer has service to non-urbanized area
Actionfigure,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Actionfigure,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Actionfigure,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
Actionfigure,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Actionfigure,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Actionfigure,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Actionfigure,5311 Rural,e0003,true,Customer has service to non-urbanized area
Actionfigure,5339,e0001,false,
Actionfigure,5339,e0003,true,Customer has service to non-urbanized area
Actionfigure,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Actionfigure,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
Actionfigure,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Actionfigure,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Active Network,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
Active Network,5310,e0003,false,Customer does not have service to non-urbanized area
Active Network,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Active Network,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Active Network,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
Active Network,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Active Network,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
Active Network,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Active Network,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
Active Network,5339,e0001,false,
Active Network,5339,e0003,false,Customer does not have service to non-urbanized area
Active Network,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Active Network,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
Active Network,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
Active Network,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Age Well Senior Services,5310,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, mpo, private non-profit"
Age Well Senior Services,5310,e0003,true,Customer has service to non-urbanized area
Age Well Senior Services,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Age Well Senior Services,5311 (f) Intercity,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Age Well Senior Services,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
Age Well Senior Services,5311 CMAQ,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Age Well Senior Services,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Age Well Senior Services,5311 Rural,e0001,true,"Customer org type is Non-Profit Organization and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Age Well Senior Services,5311 Rural,e0003,true,Customer has service to non-urbanized area
Age Well Senior Services,5339,e0001,false,
Age Well Senior Services,5339,e0003,true,Customer has service to non-urbanized area
Age Well Senior Services,SB 1 State of Good Repair,e0001,false,Customer org type is Non-Profit Organization and grant eligible types are transit agency
Age Well Senior Services,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
Age Well Senior Services,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Age Well Senior Services,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Non-Profit Organization and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Aina,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
Aina,5310,e0003,true,Customer has service to non-urbanized area
Aina,5311 (f) Intercity,e0004,false,Customer does not have service connecting urban areas
Aina,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Aina,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
Aina,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Aina,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Aina,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Aina,5311 Rural,e0003,true,Customer has service to non-urbanized area
Aina,5339,e0001,false,
Aina,5339,e0003,true,Customer has service to non-urbanized area
Aina,SB 1 State of Good Repair,e0006,false,Customer is not eligible for state transit assistance
Aina,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
Aina,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Aina,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Alameda Loop Shuttle,5310,e0001,false,"Customer org type is City/Town and grant eligible types are transit agency, local government, mpo, private non-profit"
Alameda Loop Shuttle,5310,e0003,true,Customer has service to non-urbanized area
Alameda Loop Shuttle,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Alameda Loop Shuttle,5311 (f) Intercity,e0001,false,"Customer org type is City/Town and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Alameda Loop Shuttle,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
Alameda Loop Shuttle,5311 CMAQ,e0001,false,"Customer org type is City/Town and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alameda Loop Shuttle,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Alameda Loop Shuttle,5311 Rural,e0001,false,"Customer org type is City/Town and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alameda Loop Shuttle,5311 Rural,e0003,true,Customer has service to non-urbanized area
Alameda Loop Shuttle,5339,e0001,false,
Alameda Loop Shuttle,5339,e0003,true,Customer has service to non-urbanized area
Alameda Loop Shuttle,SB 1 State of Good Repair,e0001,false,Customer org type is City/Town and grant eligible types are transit agency
Alameda Loop Shuttle,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Alameda Loop Shuttle,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Alameda Loop Shuttle,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,true,"Customer org type is City/Town and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Alameda-Contra Costa Transit District,5310,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, local government, mpo, private non-profit"
Alameda-Contra Costa Transit District,5310,e0003,true,Customer has service to non-urbanized area
Alameda-Contra Costa Transit District,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Alameda-Contra Costa Transit District,5311 (f) Intercity,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Alameda-Contra Costa Transit District,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
Alameda-Contra Costa Transit District,5311 CMAQ,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alameda-Contra Costa Transit District,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Alameda-Contra Costa Transit District,5311 Rural,e0001,true,"Customer org type is Independent Agency and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alameda-Contra Costa Transit District,5311 Rural,e0003,true,Customer has service to non-urbanized area
Alameda-Contra Costa Transit District,5339,e0001,false,
Alameda-Contra Costa Transit District,5339,e0003,true,Customer has service to non-urbanized area
Alameda-Contra Costa Transit District,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Alameda-Contra Costa Transit District,SB 1 State of Good Repair,e0001,true,Customer org type is Independent Agency and grant eligible types are transit agency
Alameda-Contra Costa Transit District,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
Alameda-Contra Costa Transit District,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Independent Agency and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
Alcatraz Cruises Inc.,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
Alcatraz Cruises Inc.,5310,e0003,true,Customer has service to non-urbanized area
Alcatraz Cruises Inc.,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
Alcatraz Cruises Inc.,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
Alcatraz Cruises Inc.,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
Alcatraz Cruises Inc.,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alcatraz Cruises Inc.,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
Alcatraz Cruises Inc.,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
Alcatraz Cruises Inc.,5311 Rural,e0003,true,Customer has service to non-urbanized area
Alcatraz Cruises Inc.,5339,e0001,false,
Alcatraz Cruises Inc.,5339,e0003,true,Customer has service to non-urbanized area
Alcatraz Cruises Inc.,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
Alcatraz Cruises Inc.,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
Alcatraz Cruises Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,false,Customer does not have service along trade and/or freight corridors
Alcatraz Cruises Inc.,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
All Yellow Taxi,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
All Yellow Taxi,5310,e0003,true,Customer has service to non-urbanized area
All Yellow Taxi,5311 (f) Intercity,e0004,false,Customer does not have service connecting urban areas
All Yellow Taxi,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
All Yellow Taxi,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
All Yellow Taxi,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
All Yellow Taxi,5311 CMAQ,e0003,true,Customer has service to non-urbanized area
All Yellow Taxi,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
All Yellow Taxi,5311 Rural,e0003,true,Customer has service to non-urbanized area
All Yellow Taxi,5339,e0001,false,
All Yellow Taxi,5339,e0003,true,Customer has service to non-urbanized area
